App,Category,Rating,Reviews,Size,Installs,Type,Content Rating
H TV,ENTERTAINMENT,4.3,103078,5.6M,"5,000,000+",Free,Everyone
StarTimes - Live International Champions Cup,ENTERTAINMENT,4.4,17682,9.7M,"1,000,000+",Free,Everyone
Cinematic Cinematic,ENTERTAINMENT,4.4,37000,15M,"1,000,000+",Free,Mature 17+
MEGOGO - Cinema and TV,ENTERTAINMENT,4,175528,Varies with device,"10,000,000+",Free,Everyone
Talking Angela,ENTERTAINMENT,3.7,1828284,52M,"100,000,000+",Free,Everyone
DStv Now,ENTERTAINMENT,3.9,34923,Varies with device,"5,000,000+",Free,Teen
ivi - movies and TV shows in HD,ENTERTAINMENT,4.5,684116,Varies with device,"10,000,000+",Free,Teen
Radio Javan,ENTERTAINMENT,4.4,46916,4.5M,"1,000,000+",Free,Everyone
Viki: Asian TV Dramas & Movies,ENTERTAINMENT,4.3,407698,Varies with device,"10,000,000+",Free,Teen
Talking Ginger 2,ENTERTAINMENT,4.2,702975,49M,"50,000,000+",Free,Everyone
Girly Lock Screen Wallpaper with Quotes,ENTERTAINMENT,4.2,32458,18M,"5,000,000+",Free,Everyone
No.Draw - Colors by Number 2018,ENTERTAINMENT,4.5,235496,13M,"10,000,000+",Free,Everyone
🔥 Football Wallpapers 4K | Full HD Backgrounds 😍,ENTERTAINMENT,4.7,11661,4.0M,"1,000,000+",Free,Everyone
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008,16M,"10,000,000+",Free,Everyone
Low Poly – Puzzle art game,ENTERTAINMENT,4.5,23063,17M,"1,000,000+",Free,Everyone
BBC Media Player,ENTERTAINMENT,3.4,87384,Varies with device,"10,000,000+",Free,Everyone
Amazon Prime Video,ENTERTAINMENT,4.2,411683,24M,"50,000,000+",Free,Teen
Adult Glitter Color by Number Book - Sandbox Pages,ENTERTAINMENT,4.3,8918,Varies with device,"1,000,000+",Free,Everyone
IMDb Movies & TV,ENTERTAINMENT,4.2,501498,12M,"100,000,000+",Free,Teen
Twitch: Livestream Multiplayer Games & Esports,ENTERTAINMENT,4.6,2133296,Varies with device,"50,000,000+",Free,Teen
Ziggo GO,ENTERTAINMENT,4.1,29690,78M,"1,000,000+",Free,Teen
YouTube Gaming,ENTERTAINMENT,4.2,130549,Varies with device,"5,000,000+",Free,Teen
PlayStation App,ENTERTAINMENT,4.2,613059,25M,"50,000,000+",Free,Everyone
Talking Ben the Dog,ENTERTAINMENT,4.3,1633682,57M,"100,000,000+",Free,Everyone
"Red Bull TV: Live Sports, Music & Entertainment",ENTERTAINMENT,4.4,42050,Varies with device,"1,000,000+",Free,Teen
Trailer Addict Movie Trailers,ENTERTAINMENT,3.9,2646,9.1M,"100,000+",Free,Teen
Cinemark Theatres,ENTERTAINMENT,4.1,21867,39M,"1,000,000+",Free,Teen
Regal Cinemas,ENTERTAINMENT,4.3,32732,Varies with device,"1,000,000+",Free,Everyone
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008,16M,"10,000,000+",Free,Everyone
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,Varies with device,"10,000,000+",Free,Teen
Marcus Theatres,ENTERTAINMENT,3.6,2639,8.5M,"100,000+",Free,Everyone
Harkins Theatres,ENTERTAINMENT,4.3,1511,12M,"100,000+",Free,Everyone
AMC Theatres,ENTERTAINMENT,4.3,44550,72M,"1,000,000+",Free,Everyone
IMDb Movies & TV,ENTERTAINMENT,4.2,501497,12M,"100,000,000+",Free,Teen
Netflix,ENTERTAINMENT,4.4,5456208,Varies with device,"100,000,000+",Free,Teen
Food Network,ENTERTAINMENT,4.1,7813,Varies with device,"500,000+",Free,Teen
Cooking Channel,ENTERTAINMENT,4.1,1033,16M,"100,000+",Free,Teen
Animal Planet GO,ENTERTAINMENT,4.2,2442,9.6M,"100,000+",Free,Teen
"VRV: Anime, game videos & more",ENTERTAINMENT,3.9,15254,Varies with device,"1,000,000+",Free,Teen
DramaFever: Stream Asian Drama Shows & Movies,ENTERTAINMENT,4.2,155234,22M,"1,000,000+",Free,Teen
Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310066,Varies with device,"10,000,000+",Free,Teen
Investigation Discovery GO,ENTERTAINMENT,4.5,12216,13M,"1,000,000+",Free,Teen
Crackle - Free TV & Movies,ENTERTAINMENT,3.7,388089,Varies with device,"10,000,000+",Free,Teen
CBS - Full Episodes & Live TV,ENTERTAINMENT,3.8,92058,12M,"10,000,000+",Free,Teen
STARZ,ENTERTAINMENT,4.3,88185,Varies with device,"10,000,000+",Free,Mature 17+
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3,493,23M,"50,000+",Free,Everyone
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,Teen
Nick,ENTERTAINMENT,4.2,123279,25M,"10,000,000+",Free,Everyone 10+
VH1,ENTERTAINMENT,4.1,27424,17M,"1,000,000+",Free,Teen
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,60841,Varies with device,"5,000,000+",Free,Teen
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4,29706,19M,"1,000,000+",Free,Teen
The CW,ENTERTAINMENT,4.4,288150,21M,"5,000,000+",Free,Teen
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,Teen
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4,319692,Varies with device,"10,000,000+",Free,Teen
HBO NOW: Stream TV & Movies,ENTERTAINMENT,3.9,61201,Varies with device,"10,000,000+",Free,Teen
Univision NOW - Live TV and On Demand,ENTERTAINMENT,4,22998,Varies with device,"1,000,000+",Free,Teen
SHOWTIME,ENTERTAINMENT,4.2,12398,Varies with device,"1,000,000+",Free,Teen
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,35928,19M,"1,000,000+",Free,Teen
SeriesGuide – Show & Movie Manager,ENTERTAINMENT,4.3,64448,4.4M,"1,000,000+",Free,Mature 17+
Comedy Central,ENTERTAINMENT,3.9,22378,19M,"1,000,000+",Free,Teen
IMDb Movies & TV,ENTERTAINMENT,4.2,501498,12M,"100,000,000+",Free,Teen
Netflix,ENTERTAINMENT,4.4,5456599,Varies with device,"100,000,000+",Free,Teen
Tubi TV - Free Movies & TV,ENTERTAINMENT,4.3,296829,11M,"10,000,000+",Free,Teen
Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310095,Varies with device,"10,000,000+",Free,Teen
STARZ,ENTERTAINMENT,4.3,88185,Varies with device,"10,000,000+",Free,Mature 17+
Crackle - Free TV & Movies,ENTERTAINMENT,3.7,388089,Varies with device,"10,000,000+",Free,Teen
CBS - Full Episodes & Live TV,ENTERTAINMENT,3.8,92058,12M,"10,000,000+",Free,Teen
Nick,ENTERTAINMENT,4.2,123279,25M,"10,000,000+",Free,Everyone 10+
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4,319691,Varies with device,"10,000,000+",Free,Teen
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,60841,Varies with device,"5,000,000+",Free,Teen
The CW,ENTERTAINMENT,4.4,288150,21M,"5,000,000+",Free,Teen
CW Seed,ENTERTAINMENT,4.5,16372,13M,"500,000+",Free,Teen
The NBC App - Watch Live TV and Full Episodes,ENTERTAINMENT,4.1,58028,17M,"5,000,000+",Free,Teen
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,Teen
HBO NOW: Stream TV & Movies,ENTERTAINMENT,3.9,61201,Varies with device,"10,000,000+",Free,Teen
WWE,ENTERTAINMENT,4.5,736864,20M,"10,000,000+",Free,Teen
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4,29706,19M,"1,000,000+",Free,Teen
VH1,ENTERTAINMENT,4.1,27424,17M,"1,000,000+",Free,Teen
Universal Kids,ENTERTAINMENT,3.6,1968,21M,"500,000+",Free,Everyone
MTV,ENTERTAINMENT,3.8,35279,15M,"1,000,000+",Free,Teen
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,35931,19M,"1,000,000+",Free,Teen
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,Teen
LEGO® TV,ENTERTAINMENT,3.7,17247,7.2M,"1,000,000+",Free,Everyone 10+
HBO GO: Stream with TV Package,ENTERTAINMENT,3.8,87723,32M,"10,000,000+",Free,Teen
Showtime Anytime,ENTERTAINMENT,3.7,18523,Varies with device,"1,000,000+",Free,Teen
PlayKids - Educational cartoons and games for kids,ENTERTAINMENT,4.1,182103,Varies with device,"10,000,000+",Free,Everyone
FOX,ENTERTAINMENT,3.7,197774,44M,"10,000,000+",Free,Mature 17+
Telemundo Now,ENTERTAINMENT,3.9,8674,19M,"1,000,000+",Free,Teen
Netflix,ENTERTAINMENT,4.4,5456708,Varies with device,"100,000,000+",Free,Teen
Tubi TV - Free Movies & TV,ENTERTAINMENT,4.3,296771,11M,"10,000,000+",Free,Teen
Vudu Movies & TV,ENTERTAINMENT,3.9,58082,Varies with device,"10,000,000+",Free,Teen
Crackle - Free TV & Movies,ENTERTAINMENT,3.7,388089,Varies with device,"10,000,000+",Free,Teen
Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310066,Varies with device,"10,000,000+",Free,Teen
Nick,ENTERTAINMENT,4.2,123279,25M,"10,000,000+",Free,Everyone 10+
STARZ,ENTERTAINMENT,4.3,88185,Varies with device,"10,000,000+",Free,Mature 17+
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4,319691,Varies with device,"10,000,000+",Free,Teen
Food Network,ENTERTAINMENT,4.1,7813,Varies with device,"500,000+",Free,Teen
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,60841,Varies with device,"5,000,000+",Free,Teen
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008,16M,"10,000,000+",Free,Everyone
Yidio: TV Show & Movie Guide,ENTERTAINMENT,3.9,27424,Varies with device,"1,000,000+",Free,Teen
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,Teen
Viki: Asian TV Dramas & Movies,ENTERTAINMENT,4.3,407719,Varies with device,"10,000,000+",Free,Teen
The CW,ENTERTAINMENT,4.4,288150,21M,"5,000,000+",Free,Teen
Redbox,ENTERTAINMENT,4.1,115033,30M,"10,000,000+",Free,Everyone
Univision NOW - Live TV and On Demand,ENTERTAINMENT,4,22997,Varies with device,"1,000,000+",Free,Teen
HBO NOW: Stream TV & Movies,ENTERTAINMENT,3.9,61201,Varies with device,"10,000,000+",Free,Teen
Tribeca Shortlist - Handpicked Movies,ENTERTAINMENT,3.9,801,57M,"100,000+",Free,Teen
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4,29706,19M,"1,000,000+",Free,Teen
VH1,ENTERTAINMENT,4.1,27424,17M,"1,000,000+",Free,Teen
SHOWTIME,ENTERTAINMENT,4.2,12398,Varies with device,"1,000,000+",Free,Teen
MTV,ENTERTAINMENT,3.8,35279,15M,"1,000,000+",Free,Teen
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,35931,19M,"1,000,000+",Free,Teen
Comedy Central,ENTERTAINMENT,3.9,22378,19M,"1,000,000+",Free,Teen
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,Teen
FOX,ENTERTAINMENT,3.7,197774,44M,"10,000,000+",Free,Mature 17+
Telemundo Now,ENTERTAINMENT,3.9,8674,19M,"1,000,000+",Free,Teen
Nick Jr. - Shows & Games,ENTERTAINMENT,4.2,8968,35M,"1,000,000+",Free,Everyone
Sticker Market: Emoji keyboard,ENTERTAINMENT,4.3,303,44M,"10,000+",Free,Teen
Viki: Asian TV Dramas & Movies,ENTERTAINMENT,4.3,407719,Varies with device,"10,000,000+",Free,Teen
Kidjo TV Kids Have Fun & Learn,ENTERTAINMENT,4.6,732,Varies with device,"100,000+",Free,Everyone
Laugh Out Loud by Kevin Hart,ENTERTAINMENT,4.3,1856,20M,"100,000+",Free,Teen
ColorFul - Adult Coloring Book,ENTERTAINMENT,4.6,50725,19M,"5,000,000+",Free,Everyone
Nick,ENTERTAINMENT,4.2,123279,25M,"10,000,000+",Free,Everyone 10+
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,Varies with device,"10,000,000+",Free,Teen
Hamilton — The Official App,ENTERTAINMENT,4.5,1575,43M,"100,000+",Free,Everyone
My Talking Pet,ENTERTAINMENT,4.6,6238,Varies with device,"100,000+",Paid,Everyone
Funny Pics,ENTERTAINMENT,3.9,9941,Varies with device,"1,000,000+",Free,Teen
Funny Quotes Free,ENTERTAINMENT,4.2,23666,3.6M,"1,000,000+",Free,Teen
LOL Pics (Funny Pictures),ENTERTAINMENT,4.4,67554,7.7M,"1,000,000+",Free,Teen
Meme Creator,ENTERTAINMENT,4.2,38769,44M,"1,000,000+",Free,Mature 17+
"Imgur: Find funny GIFs, memes & watch viral videos",ENTERTAINMENT,4.3,160164,12M,"10,000,000+",Free,Teen
Meme Generator,ENTERTAINMENT,4.6,3771,53M,"100,000+",Paid,Mature 17+
SketchBook - draw and paint,ENTERTAINMENT,4.3,256664,77M,"10,000,000+",Free,Everyone
Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,4.5,787177,Varies with device,"10,000,000+",Free,Everyone
All Events in City,EVENTS,4,3782,9.5M,"100,000+",Free,Everyone
Ticketmaster Event Tickets,EVENTS,4,40113,36M,"5,000,000+",Free,Everyone
Reminder,EVENTS,4.5,7074,6.3M,"500,000+",Free,Everyone
Birdays - Birthday reminder,EVENTS,4.5,2153,5.9M,"50,000+",Free,Everyone
"StubHub - Tickets to Sports, Concerts & Events",EVENTS,4,26089,Varies with device,"5,000,000+",Free,Everyone
Fever,EVENTS,4,20611,12M,"1,000,000+",Free,Teen
DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,"10,000+",Free,Everyone
"SeatGeek – Tickets to Sports, Concerts, Broadway",EVENTS,4.4,15558,26M,"1,000,000+",Free,Everyone
my4D,EVENTS,4.6,573,8.7M,"100,000+",Free,Everyone
VAN NIAN 2018 - Vietnamese Calendar,EVENTS,,37,16M,"10,000+",Free,Everyone
Vivid Seats – Event Tickets,EVENTS,4.6,8232,53M,"1,000,000+",Free,Everyone
Name days,EVENTS,4.1,3089,Varies with device,"100,000+",Free,Everyone
LBB - Find New & Unique Things To Do Around You,EVENTS,4.6,3874,14M,"100,000+",Free,Everyone
Happy Birthday Songs Offline,EVENTS,4.4,464,8.9M,"100,000+",Free,Everyone
Series Valley of the Wolves full of part,EVENTS,4.6,731,11M,"50,000+",Free,Everyone
Mummatikabalkuragi,EVENTS,4.9,69,334k,"1,000+",Free,Teen
"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,4.5,8800,24M,"1,000,000+",Free,Everyone
"PTI Flex Maker, Photo Frame Editor & Songs 2018",EVENTS,4.6,99,13M,"10,000+",Free,Everyone
Wipe out,EVENTS,4.7,30,Varies with device,500+,Free,Teen
Birthdays & Other Events,EVENTS,4.3,456,2.8M,"50,000+",Free,Everyone
Sarajevo Film Festival - Official,EVENTS,,6,9.7M,100+,Free,Everyone 10+
Summer Madness,EVENTS,,4,1.4M,100+,Free,Everyone
Events High - Meet Your City!,EVENTS,4.2,3200,Varies with device,"100,000+",Free,Everyone 10+
vide-greniers.org,EVENTS,4.3,5839,3.5M,"100,000+",Free,Everyone
SUMMER SONIC app,EVENTS,5,4,61M,500+,Free,Everyone
Quake & Volcanoes: 3D Globe of Volcanic Eruptions,EVENTS,4.4,663,6.0M,"100,000+",Free,Everyone
Prosperity,EVENTS,5,16,2.3M,100+,Free,Everyone
Picktrainer: India's largest photo contest app,EVENTS,4.5,1065,9.0M,"100,000+",Free,Everyone
AAS-IN-ASIA 2018,EVENTS,,3,11M,100+,Free,Everyone
Moot Peru 2018,EVENTS,,13,27M,"1,000+",Free,Everyone
FM News,EVENTS,,46,3.6M,"5,000+",Free,Everyone
Goldstar: Live Event Tickets,EVENTS,4.5,1953,Varies with device,"100,000+",Free,Teen
Emmabodafestivalen,EVENTS,4.8,12,29M,"1,000+",Free,Everyone 10+
KudaGo - things to do in NY,EVENTS,4.4,4298,4.4M,"100,000+",Free,Everyone
Mindvalley U Tallinn 2018,EVENTS,5,1,21M,100+,Free,Everyone
Rockmaraton Info,EVENTS,,49,13M,"1,000+",Free,Everyone
Freitas Auctioneer Official,EVENTS,3.7,100,27M,"50,000+",Free,Everyone
mobLee Events,EVENTS,,11,11M,"5,000+",Free,Everyone
"Xceed - Clubs, DJs, Festivals & Tickets",EVENTS,4.1,399,24M,"100,000+",Free,Everyone
AMM Events & CPD,EVENTS,,5,6.1M,100+,Free,Everyone
Arab Halls - For Wedding & Events,EVENTS,4.8,28,6.3M,"1,000+",Free,Everyone
MeAuDote - An act of love that saves a life,EVENTS,,250,23M,"1,000+",Free,Everyone
TCF National Conference,EVENTS,,1,34M,100+,Free,Everyone
Endurance Lifestyle,EVENTS,4.6,7,3.8M,500+,Free,Teen
K PLUS,FINANCE,4.4,124424,Varies with device,"10,000,000+",Free,Everyone
ING Banking,FINANCE,4.4,39041,Varies with device,"1,000,000+",Free,Everyone
Citibanamex Movil,FINANCE,3.6,52306,42M,"5,000,000+",Free,Everyone
The postal bank,FINANCE,3.7,36718,Varies with device,"5,000,000+",Free,Everyone
KTB Netbank,FINANCE,3.8,42644,19M,"5,000,000+",Free,Everyone
Mobile Bancomer,FINANCE,4.2,278082,70M,"10,000,000+",Free,Everyone
Nedbank Money,FINANCE,4.2,6076,32M,"500,000+",Free,Everyone
SCB EASY,FINANCE,4.2,112656,93M,"5,000,000+",Free,Everyone
CASHIER,FINANCE,3.3,335738,Varies with device,"10,000,000+",Free,Everyone
Rabo Banking,FINANCE,3.4,31906,Varies with device,"1,000,000+",Free,Everyone
Capitec Remote Banking,FINANCE,4.3,20672,Varies with device,"1,000,000+",Free,Everyone
Itau bank,FINANCE,4.2,957973,40M,"10,000,000+",Free,Everyone
Nubank,FINANCE,4.7,130582,24M,"5,000,000+",Free,Everyone
The Societe Generale App,FINANCE,4.1,31218,Varies with device,"1,000,000+",Free,Everyone
IKO,FINANCE,4.7,167168,20M,"1,000,000+",Free,Everyone
Cash App,FINANCE,4,34428,15M,"10,000,000+",Free,Everyone
Standard Bank / Stanbic Bank,FINANCE,3.6,15247,28M,"1,000,000+",Free,Everyone
Bualuang mBanking,FINANCE,4,48445,10M,"5,000,000+",Free,Everyone
Intesa Sanpaolo Mobile,FINANCE,3.6,35518,Varies with device,"1,000,000+",Free,Everyone
UBA Mobile Banking,FINANCE,4.3,12185,Varies with device,"1,000,000+",Free,Everyone
BBVA Spain,FINANCE,4.2,36746,Varies with device,"5,000,000+",Free,Everyone
MyMo by GSB,FINANCE,4.2,21996,14M,"1,000,000+",Free,Everyone
VTB-Online,FINANCE,4.1,138371,Varies with device,"5,000,000+",Free,Everyone
Ecobank Mobile Banking,FINANCE,4,12073,42M,"1,000,000+",Free,Everyone
Banorte Movil,FINANCE,4.1,111632,65M,"1,000,000+",Free,Everyone
Wells Fargo Mobile,FINANCE,4.4,250706,37M,"10,000,000+",Free,Everyone
Credit Karma,FINANCE,4.7,706301,Varies with device,"10,000,000+",Free,Everyone
BZWBK24 mobile,FINANCE,4.5,64959,39M,"1,000,000+",Free,Everyone
PayPal,FINANCE,4.3,659741,47M,"50,000,000+",Free,Everyone
Capital One® Mobile,FINANCE,4.6,510392,79M,"10,000,000+",Free,Everyone
Zenith Bank Mobile App,FINANCE,4.3,7215,18M,"1,000,000+",Free,Everyone
"GCash - Buy Load, Pay Bills, Send Money",FINANCE,4,25508,Varies with device,"1,000,000+",Free,Everyone
Post Bank,FINANCE,4.5,60449,100M,"1,000,000+",Free,Everyone
İşCep,FINANCE,4.5,381788,32M,"10,000,000+",Free,Everyone
People's Bank,FINANCE,3.6,10697,46M,"1,000,000+",Free,Everyone
Google Pay,FINANCE,4.2,347838,Varies with device,"100,000,000+",Free,Everyone
Transfer,FINANCE,4.1,31804,9.8M,"5,000,000+",Free,Everyone
T-Mobile in,FINANCE,3.5,3856,8.2M,"1,000,000+",Free,Everyone
TrueMoney Wallet,FINANCE,4.4,199684,18M,"5,000,000+",Free,Everyone
Alfa-Bank (Alfa-Bank),FINANCE,4,44545,Varies with device,"1,000,000+",Free,Everyone
Bank of Brazil,FINANCE,4.5,1336246,39M,"10,000,000+",Free,Everyone
WiseBanyan - Invest For Free,FINANCE,4.2,257,44M,"10,000+",Free,Everyone
"Robinhood - Investing, No Fees",FINANCE,4.6,57493,Varies with device,"1,000,000+",Free,Everyone
Wells Fargo Daily Change,FINANCE,4.2,283,5.0M,"100,000+",Free,Everyone
"Even - organize your money, get paid early",FINANCE,4.8,12304,21M,"100,000+",Free,Everyone
Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",Free,Everyone
Stash: Invest. Learn. Save.,FINANCE,4.2,11919,23M,"1,000,000+",Free,Everyone
Acorns - Invest Spare Change,FINANCE,4.3,45957,Varies with device,"1,000,000+",Free,Everyone
Google Pay,FINANCE,4.2,347838,Varies with device,"100,000,000+",Free,Everyone
"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126431,Varies with device,"1,000,000+",Free,Everyone
Expense IQ Money Manager,FINANCE,4.4,21570,27M,"1,000,000+",Free,Everyone
Money Manager Expense & Budget,FINANCE,4.6,134564,Varies with device,"5,000,000+",Free,Everyone
Wells Fargo Daily Change,FINANCE,4.2,283,5.0M,"100,000+",Free,Everyone
"Prism Pay Bills, Track Money, Personal Finance",FINANCE,4.6,16961,32M,"500,000+",Free,Everyone
Monefy - Money Manager,FINANCE,4.6,111254,7.4M,"1,000,000+",Free,Everyone
Simple - Better Banking,FINANCE,4.4,7731,24M,"100,000+",Free,Everyone
Chime - Mobile Banking,FINANCE,4.3,5928,22M,"500,000+",Free,Everyone
Bluebird by American Express,FINANCE,4.2,15703,Varies with device,"1,000,000+",Free,Everyone
Walmart MoneyCard,FINANCE,4.2,6148,10M,"1,000,000+",Free,Everyone
Moven - Smart Finances,FINANCE,3.8,861,17M,"100,000+",Free,Everyone
Qapital - Save Small. Live Large,FINANCE,4.5,8662,38M,"100,000+",Free,Everyone
Experian - Free Credit Report,FINANCE,4.6,23130,46M,"1,000,000+",Free,Everyone
Branch,FINANCE,4.6,69973,3.8M,"1,000,000+",Free,Everyone
"WalletHub - Free Credit Score, Report & Monitoring",FINANCE,4.7,1311,9.3M,"50,000+",Free,Everyone
CreditWise from Capital One,FINANCE,4.6,26587,8.4M,"1,000,000+",Free,Everyone
"NerdWallet: Personal Finance, Credit Score & Cash",FINANCE,4.6,2417,28M,"100,000+",Free,Everyone
Credit Karma,FINANCE,4.7,706302,Varies with device,"10,000,000+",Free,Everyone
my face,FINANCE,3.8,1054,9.7M,"100,000+",Free,Everyone
Credit Sesame,FINANCE,4.3,25166,11M,"1,000,000+",Free,Everyone
"Mint: Budget, Bills, Finance",FINANCE,4.3,129304,Varies with device,"5,000,000+",Free,Everyone
Fresh EBT - Food Stamp Balance,FINANCE,4.5,19870,7.4M,"1,000,000+",Free,Everyone
"Hurdlr: Track Mileage, Expenses, and Log Receipts",FINANCE,4.6,3596,19M,"100,000+",Free,Everyone
Mobills: Budget Planner,FINANCE,4.6,161440,16M,"1,000,000+",Free,Everyone
Everlance: Free Mileage Log,FINANCE,4.7,7514,14M,"100,000+",Free,Everyone
MileIQ - Free Mileage Tracker for Business,FINANCE,4.5,46106,22M,"1,000,000+",Free,Everyone
QuickBooks Self-Employed:Mileage Tracker and Taxes,FINANCE,4.4,15141,25M,"1,000,000+",Free,Everyone
FREE Stock Market Trading Tips,FINANCE,3.9,714,3.6M,"50,000+",Free,Everyone
MetaTrader 5,FINANCE,4.5,42410,Varies with device,"1,000,000+",Free,Everyone
MetaTrader 4,FINANCE,4.6,260547,Varies with device,"5,000,000+",Free,Everyone
Stock Quote,FINANCE,4.1,4344,4.5M,"500,000+",Free,Everyone
Seeking Alpha,FINANCE,4.5,22808,Varies with device,"1,000,000+",Free,Everyone
Stock Trainer: Virtual Trading (Stock Markets),FINANCE,4.4,42809,23M,"1,000,000+",Free,Everyone
Stocks: Realtime Quotes Charts,FINANCE,4.5,16808,Varies with device,"1,000,000+",Free,Everyone
"Stocks, Forex, Bitcoin, Ethereum: Portfolio & News",FINANCE,4.6,157505,Varies with device,"5,000,000+",Free,Everyone
CNBC: Breaking Business News & Live Market Data,FINANCE,4.2,24647,Varies with device,"1,000,000+",Free,Everyone
US Stock Market,FINANCE,4.4,1922,4.2M,"100,000+",Free,Everyone
Bloomberg Professional,FINANCE,4.1,3334,Varies with device,"500,000+",Free,Everyone
E*TRADE Mobile,FINANCE,3.9,10658,58M,"1,000,000+",Free,Everyone
"Robinhood - Investing, No Fees",FINANCE,4.6,57493,Varies with device,"1,000,000+",Free,Everyone
MSN Money- Stock Quotes & News,FINANCE,4.5,78361,22M,"1,000,000+",Free,Everyone
Fox Business,FINANCE,3.7,2594,Varies with device,"500,000+",Free,Everyone
NSE Mobile Trading,FINANCE,4.1,13868,1.4M,"1,000,000+",Free,Everyone
Yahoo Finance,FINANCE,4.4,135952,Varies with device,"5,000,000+",Free,Everyone
"JStock - Stock Market, Portfolio & News",FINANCE,4.6,11066,9.1M,"500,000+",Free,Everyone
Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",Free,Everyone
Acorns - Invest Spare Change,FINANCE,4.3,45962,Varies with device,"1,000,000+",Free,Everyone
Webull - Stock Quotes & Free Stock Trading,FINANCE,4.3,34861,Varies with device,"1,000,000+",Free,Everyone
"Trading 212 - Forex, Stocks, CFDs",FINANCE,4.3,37580,Varies with device,"5,000,000+",Free,Everyone
"Moneycontrol – Stocks, Sensex, Mutual Funds, IPO",FINANCE,4.4,281485,Varies with device,"5,000,000+",Free,Everyone
Current debit card and app made for teens,FINANCE,4.3,685,21M,"50,000+",Free,Everyone
"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126447,Varies with device,"1,000,000+",Free,Everyone
"Mint: Budget, Bills, Finance",FINANCE,4.3,129304,Varies with device,"5,000,000+",Free,Everyone
Betterment,FINANCE,4.4,3780,11M,"100,000+",Free,Everyone
Citizens Bank Mobile Banking,FINANCE,4.1,15192,38M,"1,000,000+",Free,Everyone
GoBank,FINANCE,4.4,5950,12M,"500,000+",Free,Everyone
NetSpend Prepaid,FINANCE,4.2,15993,45M,"1,000,000+",Free,Everyone
BBVA Compass Banking,FINANCE,4.3,5905,50M,"500,000+",Free,Everyone
Simple - Better Banking,FINANCE,4.4,7731,24M,"100,000+",Free,Everyone
PayPal,FINANCE,4.3,659760,47M,"50,000,000+",Free,Everyone
BankMobile Vibe App,FINANCE,4.3,14627,23M,"1,000,000+",Free,Everyone
Netspend Skylight ONE,FINANCE,3.9,1098,46M,"100,000+",Free,Everyone
ACE Elite,FINANCE,4.1,2898,45M,"100,000+",Free,Everyone
U.S. Bank,FINANCE,4.1,70782,50M,"1,000,000+",Free,Everyone
Huntington Mobile,FINANCE,4.2,11264,24M,"1,000,000+",Free,Everyone
USAA Mobile,FINANCE,4.5,100997,33M,"5,000,000+",Free,Everyone
Google Pay,FINANCE,4.2,347874,Varies with device,"100,000,000+",Free,Everyone
Associated Credit Union Mobile,FINANCE,4.7,3290,12M,"50,000+",Free,Everyone
Bank of America Mobile Banking,FINANCE,4.4,341090,53M,"10,000,000+",Free,Everyone
USE Credit Union Mobile,FINANCE,4.6,964,14M,"10,000+",Free,Everyone
Discover Mobile,FINANCE,4.6,87951,68M,"5,000,000+",Free,Everyone
